Product Description,Printing,2500,5000,10000,15000,PSD
18inch Round Heart Square,1 Colour Spot Print / 1 or 2 Sides,1.50,1.35,1.10,0.90,lgqtymicrofoil.psd
18inch Round Heart Square,2 Colour Spot Print / 1 or 2 Sides,2.00,1.58,1.26,0.94,lgqtymicrofoil.psd
18inch Round Heart Square,3 Colour Spot Print / 1 or 2 Sides,2.25,1.80,1.34,1.04,lgqtymicrofoil.psd
18inch Round Heart Square,4 Colour Spot Print / 1 or 2 Sides,2.56,1.90,1.42,1.08,lgqtymicrofoil.psd
18inch Round Heart Square,5 Colour Spot Print / 1 or 2 Sides,3.12,2.02,1.46,1.16,lgqtymicrofoil.psd
18inch Round Heart Square,6 Colour Spot Print / 1 or 2 Sides,3.56,2.12,1.50,1.18,lgqtymicrofoil.psd
18inch Round Heart Square,Process Print / 1 or 2 Sides,3.56,2.24,1.62,1.28,lgqtymicrofoil.psd
20inch Round Star,1 Colour Spot Print / 1 or 2 Sides,2.00,1.76,1.58,1.36,lgqtymicrofoil.psd
20inch Round Star,2 Colour Spot Print / 1 or 2 Sides,2.36,2.02,1.70,1.40,lgqtymicrofoil.psd
20inch Round Star,3 Colour Spot Print / 1 or 2 Sides,2.68,2.26,1.80,1.48,lgqtymicrofoil.psd
20inch Round Star,4 Colour Spot Print / 1 or 2 Sides,3.02,2.36,1.84,1.52,lgqtymicrofoil.psd
20inch Round Star,5 Colour Spot Print / 1 or 2 Sides,3.72,2.46,1.93,1.58,lgqtymicrofoil.psd
20inch Round Star,6 Colour Spot Print / 1 or 2 Sides,4.16,2.60,2.00,1.64,lgqtymicrofoil.psd
20inch Round Star,Process Print / 1 or 2 Sides,4.16,2.70,2.10,1.70,lgqtymicrofoil.psd
36inch Round Heart Star,1 Colour Spot Print / 1 or 2 Sides,5.00,4.50,3.60,3.10,lgqtymicrofoil.psd
36inch Round Heart Star,2 Colour Spot Print / 1 or 2 Sides,5.50,4.60,3.66,3.20,lgqtymicrofoil.psd
36inch Round Heart Star,Process Print / 1 or 2 Sides,7.60,5.15,4.30,3.7,lgqtymicrofoil.psd
