Product Description,Panels,ItemNum,1,2 to 4,5 to 9,10 to 24,25 to 49,PSD
4ft x 2.5ft Small Vertical,2,44733,328.00,259.00,232.00,194.00,171.00,verticalpopup.psd
5.5ft x 3ft Medium Vertical,2,44766,377.00,308.00,279.00,243.00,221.00,verticalpopup.psd
6.5ft x 4ft Large Vertical,2,44767,429.00,360.00,332.00,295.00,273.00,verticalpopup.psd
4ft x 2ft Small Horizontal,2,44718,328.00,259.00,232.00,194.00,171.00,horzpopup.psd
6ft x 3ft Medium Horizontal,2,44723,390.00,321.00,290.00,254.00,231.00,horzpopup.psd
8ft x 3ft Large Horizontal,2,44732,449.00,380.00,351.00,314.00,293.00,horzpopup.psd
4ft x 4ft Triangle,2,44839,383.00,314.00,285.00,248.00,226.00,trianglepopup.psd
3.5ft Small Circle,2,44832,342.00,273.00,219.00,188.00,170.00,circlepopup.psd
5ft Large Circle,2,44834,415.00,346.00,318.00,282.00,259.00,circlepopup.psd
6.5ft Tall Tower,3,44843,469.00,400.00,370.00,332.00,308.00,towerpopup.psd
